['collagen', [85582, 85590]]
['collagen', [85682, 85690]]
['collagen', [85781, 85789]]
['collagen', [85813, 85821]]
['collagen', [85957, 85965]]
['collagen', [86030, 86038]]
['collagen', [86049, 86057]]
['collagen', [86113, 86121]]
['collagen', [86147, 86155]]
['collagen', [86234, 86242]]
['collagen', [86288, 86296]]
['collagen', [86312, 86320]]
['collagen', [86341, 86349]]
['collagen', [86397, 86405]]
['collagen', [86476, 86484]]
['collagen', [86591, 86599]]
['collagen', [86711, 86719]]
['collagen', [86728, 86736]]
['collagen', [86899, 86907]]
['collagen', [86955, 86963]]
['collagen', [87008, 87016]]
['collagen', [87034, 87042]]
['collagen', [87083, 87091]]
['collagen', [87208, 87216]]
['collagen', [87285, 87293]]
['collagen', [87345, 87353]]
['collagen', [87524, 87532]]
['collagen', [87642, 87650]]
['collagen', [87814, 87822]]
['collagen', [87957, 87965]]
['collagen', [88127, 88135]]
['collagen', [88243, 88251]]
['collagen', [88316, 88324]]
['collagen', [88364, 88372]]
['collagen', [88428, 88436]]
['collagen', [88520, 88528]]
['collagen', [88761, 88769]]
['collagen', [88827, 88835]]
['collagen', [88910, 88918]]
['collagen', [88980, 88988]]
['collagen', [89167, 89175]]
['collagen', [89438, 89446]]
['collagen', [89620, 89628]]
['collagen', [89708, 89716]]
['collagen', [89754, 89762]]
['collagen', [89854, 89862]]
['collagen', [89885, 89893]]
['collagen', [90119, 90127]]
['collagen', [90519, 90527]]
['collagen', [90591, 90599]]
['collagen', [90703, 90711]]
['collagen', [90874, 90882]]
['collagen', [92437, 92445]]
['collagen', [92691, 92699]]
['collagen', [93580, 93588]]
['collagen', [93658, 93666]]
['collagen', [93741, 93749]]
['collagen', [93782, 93790]]
['collagen', [93807, 93815]]
['collagen', [93936, 93944]]
['collagen', [94100, 94108]]
['collagen', [94208, 94216]]
['collagen', [94321, 94329]]
['collagen', [94481, 94489]]
['collagen', [94524, 94532]]
['collagen', [94750, 94758]]
['collagen', [94793, 94801]]
['collagen', [94866, 94874]]
['collagen', [95000, 95008]]
['collagen', [95052, 95060]]
['collagen', [95114, 95122]]
['collagen', [95249, 95257]]
['collagen', [95350, 95358]]
['collagen', [95630, 95638]]
['collagen', [95738, 95746]]
['collagen', [96479, 96487]]
['collagen', [97229, 97237]]
['collagen', [97948, 97956]]
['collagen', [98165, 98173]]
['collagen', [98292, 98300]]
['collagen', [98416, 98424]]
['collagen', [98548, 98556]]
['collagen', [98618, 98626]]
['collagen', [98833, 98841]]
['collagen', [98879, 98887]]
['collagen', [99039, 99047]]
['collagen', [99190, 99198]]
['collagen', [99226, 99234]]
['collagen', [99454, 99462]]
['collagen', [99504, 99512]]
['collagen', [99716, 99724]]
['collagen', [100057, 100065]]
['collagen', [100260, 100268]]
['collagen', [100475, 100483]]
['collagen', [100538, 100546]]
['collagen', [100730, 100738]]
['collagen', [100793, 100801]]
['collagen', [100941, 100949]]
['collagen', [101042, 101050]]
['collagen', [101105, 101113]]
['collagen', [101231, 101239]]
