['\\[', [2818, 2820]]
['\\[', [2914, 2916]]
['\\[', [3022, 3024]]
['\\[', [3071, 3073]]
['\\[', [3293, 3295]]
['\\[', [3350, 3352]]
['\\[', [3406, 3408]]
['\\[', [3440, 3442]]
['\\[', [4374, 4376]]
['\\[', [5326, 5328]]
['\\[', [5534, 5536]]
['\\[', [8646, 8648]]
['\\[', [9104, 9106]]
['\\[', [12646, 12648]]
['\\[', [13104, 13106]]
['\\[', [17614, 17616]]
['\\[', [23770, 23772]]
['\\[', [26813, 26815]]
['\\[', [27218, 27220]]
['\\[', [27371, 27373]]
['\\[', [27449, 27451]]
['\\[', [27818, 27820]]
['\\[', [28046, 28048]]
['\\[', [28083, 28085]]
['\\[', [28428, 28430]]
['\\[', [28793, 28795]]
['\\[', [28845, 28847]]
['\\[', [29762, 29764]]
['\\[', [30053, 30055]]
['\\[', [30202, 30204]]
['\\[', [30813, 30815]]
['\\[', [31407, 31409]]
['\\[', [33331, 33333]]
['\\[', [33736, 33738]]
['\\[', [33889, 33891]]
['\\[', [33967, 33969]]
['\\[', [34336, 34338]]
['\\[', [34564, 34566]]
['\\[', [34601, 34603]]
['\\[', [34946, 34948]]
['\\[', [35311, 35313]]
['\\[', [35363, 35365]]
['\\[', [36280, 36282]]
['\\[', [36571, 36573]]
['\\[', [36720, 36722]]
['\\[', [37331, 37333]]
['\\[', [37925, 37927]]
['4', [736, 737]]
['4', [1287, 1288]]
['4', [2400, 2401]]
['4', [3352, 3353]]
['4', [4079, 4080]]
['4', [4382, 4383]]
['4', [4453, 4454]]
['4', [4680, 4681]]
['4', [7290, 7291]]
['4', [11290, 11291]]
['4', [13595, 13596]]
['4', [13662, 13663]]
['4', [13703, 13704]]
['4', [13800, 13801]]
['4', [13893, 13894]]
['4', [14070, 14071]]
['4', [15835, 15836]]
['4', [15845, 15846]]
['4', [15865, 15866]]
['4', [17435, 17436]]
['4', [17954, 17955]]
['4', [17972, 17973]]
['4', [18014, 18015]]
['4', [18359, 18360]]
['4', [18369, 18370]]
['4', [18442, 18443]]
['4', [18613, 18614]]
['4', [18657, 18658]]
['4', [18680, 18681]]
['4', [19533, 19534]]
['4', [19539, 19540]]
['4', [19751, 19752]]
['4', [19818, 19819]]
['4', [19859, 19860]]
['4', [19956, 19957]]
['4', [20049, 20050]]
['4', [20226, 20227]]
['4', [21991, 21992]]
['4', [22001, 22002]]
['4', [22021, 22022]]
['4', [23591, 23592]]
['4', [24110, 24111]]
['4', [24128, 24129]]
['4', [24170, 24171]]
['4', [24515, 24516]]
['4', [24525, 24526]]
['4', [24598, 24599]]
['4', [24769, 24770]]
['4', [24813, 24814]]
['4', [24836, 24837]]
['4', [25689, 25690]]
['4', [25695, 25696]]
['4', [31410, 31411]]
['4', [37928, 37929]]
['4', [38993, 38994]]
['4', [39002, 39003]]
['4', [39012, 39013]]
['4', [39022, 39023]]
['4', [39061, 39062]]
['4', [39095, 39096]]
['4', [39117, 39118]]
['4', [39185, 39186]]
['4', [39237, 39238]]
['4', [39270, 39271]]
['4', [39307, 39308]]
['4', [39317, 39318]]
['4', [39395, 39396]]
['4', [39399, 39400]]
['4', [39400, 39401]]
['4', [39779, 39780]]
['4', [39783, 39784]]
['4', [39853, 39854]]
['4', [39906, 39907]]
['4', [40060, 40061]]
['4', [40113, 40114]]
['4', [40184, 40185]]
['4', [40189, 40190]]
['4', [40199, 40200]]
['4', [40205, 40206]]
['4', [40299, 40300]]
['4', [40317, 40318]]
['4', [40328, 40329]]
['4', [40509, 40510]]
['4', [40510, 40511]]
['4', [40578, 40579]]
['4', [40585, 40586]]
['4', [40647, 40648]]
['4', [40701, 40702]]
['4', [40717, 40718]]
['4', [40869, 40870]]
['4', [40886, 40887]]
['4', [41135, 41136]]
['4', [41139, 41140]]
['4', [41222, 41223]]
['4', [41235, 41236]]
['4', [41403, 41404]]
['4', [41422, 41423]]
['4', [41714, 41715]]
['4', [41738, 41739]]
['4', [41790, 41791]]
['4', [41896, 41897]]
['4', [41901, 41902]]
['4', [41911, 41912]]
['4', [41917, 41918]]
['4', [41937, 41938]]
['4', [42002, 42003]]
['4', [42027, 42028]]
['4', [42095, 42096]]
['4', [42118, 42119]]
['4', [42125, 42126]]
['4', [42351, 42352]]
['4', [42357, 42358]]
['4', [42450, 42451]]
['4', [42462, 42463]]
['4', [42486, 42487]]
['4', [42642, 42643]]
['4', [42649, 42650]]
['4', [42709, 42710]]
['4', [42808, 42809]]
['4', [42815, 42816]]
['4', [42851, 42852]]
['4', [42855, 42856]]
['4', [42910, 42911]]
['4', [42922, 42923]]
['4', [42954, 42955]]
['4', [43027, 43028]]
['4', [43028, 43029]]
['4', [43209, 43210]]
['4', [43274, 43275]]
['4', [43707, 43708]]
['4', [44022, 44023]]
['4', [44026, 44027]]
['4', [44069, 44070]]
['4', [44126, 44127]]
['4', [44176, 44177]]
['4', [44214, 44215]]
['4', [44221, 44222]]
['4', [44431, 44432]]
['4', [44437, 44438]]
['4', [44442, 44443]]
['4', [44543, 44544]]
