['\\(', [3503, 3505]]
['\\(', [3821, 3823]]
['\\(', [4588, 4590]]
['\\(', [5537, 5539]]
['\\(', [6701, 6703]]
['\\(', [6899, 6901]]
['\\(', [6922, 6924]]
['\\(', [7148, 7150]]
['\\(', [7521, 7523]]
['\\(', [8255, 8257]]
['\\(', [8303, 8305]]
['\\(', [8363, 8365]]
['\\(', [8450, 8452]]
['\\(', [8487, 8489]]
['\\(', [8555, 8557]]
['\\(', [8611, 8613]]
['\\(', [8838, 8840]]
['\\(', [9885, 9887]]
['\\(', [10089, 10091]]
['\\(', [10192, 10194]]
['\\(', [10227, 10229]]
['\\(', [10339, 10341]]
['\\(', [10373, 10375]]
['\\(', [10396, 10398]]
['\\(', [10717, 10719]]
['\\(', [11053, 11055]]
['\\(', [11186, 11188]]
['\\(', [11217, 11219]]
['\\(', [11257, 11259]]
['\\(', [11626, 11628]]
['\\(', [11690, 11692]]
['\\(', [11745, 11747]]
['\\(', [11803, 11805]]
['\\(', [11840, 11842]]
['\\(', [12505, 12507]]
['\\(', [12600, 12602]]
['\\(', [12733, 12735]]
['\\(', [12761, 12763]]
['\\(', [13052, 13054]]
['\\(', [13128, 13130]]
['\\(', [14183, 14185]]
['\\(', [15347, 15349]]
['\\(', [15545, 15547]]
['\\(', [15568, 15570]]
['\\(', [15794, 15796]]
['\\(', [16167, 16169]]
['\\(', [16902, 16904]]
['\\(', [16950, 16952]]
['\\(', [17010, 17012]]
['\\(', [17097, 17099]]
['\\(', [17134, 17136]]
['\\(', [17202, 17204]]
['\\(', [17258, 17260]]
['\\(', [17485, 17487]]
['\\(', [18533, 18535]]
['\\(', [18738, 18740]]
['\\(', [18841, 18843]]
['\\(', [18876, 18878]]
['\\(', [18988, 18990]]
['\\(', [19022, 19024]]
['\\(', [19045, 19047]]
['\\(', [19366, 19368]]
['\\(', [19702, 19704]]
['\\(', [19835, 19837]]
['\\(', [19866, 19868]]
['\\(', [19906, 19908]]
['\\(', [20275, 20277]]
['\\(', [20339, 20341]]
['\\(', [20394, 20396]]
['\\(', [20452, 20454]]
['\\(', [20489, 20491]]
['\\(', [21154, 21156]]
['\\(', [21249, 21251]]
['\\(', [21382, 21384]]
['\\(', [21410, 21412]]
['\\(', [21701, 21703]]
['\\(', [21777, 21779]]
['\\(', [22018, 22020]]
['\\(', [22611, 22613]]
['\\(', [22649, 22651]]
['\\(', [22856, 22858]]
['\\(', [23004, 23006]]
['\\(', [23189, 23191]]
['\\(', [23450, 23452]]
['\\(', [23613, 23615]]
['\\(', [23631, 23633]]
['\\(', [23826, 23828]]
['\\(', [23855, 23857]]
['\\(', [23895, 23897]]
['\\(', [23984, 23986]]
['\\(', [24025, 24027]]
['\\(', [24142, 24144]]
['\\(', [24434, 24436]]
['\\(', [24543, 24545]]
['\\(', [24660, 24662]]
['\\(', [24784, 24786]]
['\\(', [24859, 24861]]
['\\(', [25002, 25004]]
['\\(', [25085, 25087]]
['\\(', [25328, 25330]]
['\\(', [25440, 25442]]
['\\(', [25543, 25545]]
['\\(', [25637, 25639]]
['\\(', [26003, 26005]]
['\\(', [26141, 26143]]
['\\(', [26256, 26258]]
['\\(', [26270, 26272]]
['\\(', [26287, 26289]]
['\\(', [26415, 26417]]
['\\(', [26428, 26430]]
['\\(', [26445, 26447]]
['\\(', [26560, 26562]]
['\\(', [27153, 27155]]
['\\(', [27191, 27193]]
['\\(', [27398, 27400]]
['\\(', [27546, 27548]]
['\\(', [27731, 27733]]
['\\(', [27992, 27994]]
['\\(', [28155, 28157]]
['\\(', [28173, 28175]]
['\\(', [28368, 28370]]
['\\(', [28397, 28399]]
['\\(', [28437, 28439]]
['\\(', [28526, 28528]]
