['2', [19380, 19381]]
['2', [19467, 19468]]
['2', [19841, 19842]]
['2', [19987, 19988]]
['2', [20074, 20075]]
['2', [20448, 20449]]
['2', [20921, 20922]]
['2', [20941, 20942]]
['2', [21047, 21048]]
['2', [21051, 21052]]
['2', [21087, 21088]]
['2', [21120, 21121]]
['2', [21291, 21292]]
['2', [21295, 21296]]
['2', [21333, 21334]]
['2', [21380, 21381]]
['2', [21920, 21921]]
['2', [21940, 21941]]
['2', [22046, 22047]]
['2', [22050, 22051]]
['2', [22086, 22087]]
['2', [22119, 22120]]
['2', [22290, 22291]]
['2', [22294, 22295]]
['2', [22332, 22333]]
['2', [22379, 22380]]
['2', [22851, 22852]]
['2', [22968, 22969]]
['2', [22983, 22984]]
['2', [23001, 23002]]
['2', [23404, 23405]]
['2', [23521, 23522]]
['2', [23536, 23537]]
['2', [23554, 23555]]
['2', [23802, 23803]]
['2', [23811, 23812]]
['2', [24160, 24161]]
['2', [24321, 24322]]
['2', [24677, 24678]]
['2', [24971, 24972]]
['2', [25151, 25152]]
['2', [25331, 25332]]
['2', [25440, 25441]]
['2', [25479, 25480]]
['2', [25675, 25676]]
['2', [25844, 25845]]
['2', [26055, 26056]]
['2', [26070, 26071]]
['2', [26105, 26106]]
['2', [26164, 26165]]
['2', [26443, 26444]]
['2', [26818, 26819]]
['2', [26841, 26842]]
['2', [26862, 26863]]
['2', [27114, 27115]]
['2', [27350, 27351]]
['2', [27486, 27487]]
['2', [27915, 27916]]
['2', [27937, 27938]]
['2', [28031, 28032]]
['2', [28491, 28492]]
['2', [28666, 28667]]
['2', [29942, 29943]]
['2', [29951, 29952]]
['2', [30300, 30301]]
['2', [30461, 30462]]
['2', [30817, 30818]]
['2', [31111, 31112]]
['2', [31291, 31292]]
['2', [31471, 31472]]
['2', [31580, 31581]]
['2', [31619, 31620]]
['2', [31815, 31816]]
['2', [31984, 31985]]
['2', [32195, 32196]]
['2', [32210, 32211]]
['2', [32245, 32246]]
['2', [32304, 32305]]
['2', [32583, 32584]]
['2', [32958, 32959]]
['2', [32981, 32982]]
['2', [33002, 33003]]
['2', [33254, 33255]]
['2', [33490, 33491]]
['2', [33626, 33627]]
['2', [34055, 34056]]
['2', [34077, 34078]]
['2', [34171, 34172]]
['2', [34631, 34632]]
['2', [34806, 34807]]
['2', [36320, 36321]]
['2', [36340, 36341]]
['2', [36429, 36430]]
['2', [36433, 36434]]
['2', [36469, 36470]]
['2', [36517, 36518]]
['2', [36647, 36648]]
['2', [36651, 36652]]
['2', [36692, 36693]]
['2', [36725, 36726]]
['2', [36868, 36869]]
['2', [36918, 36919]]
['2', [36935, 36936]]
['2', [36963, 36964]]
['2', [36976, 36977]]
['2', [36977, 36978]]
['2', [37012, 37013]]
['2', [37020, 37021]]
['2', [37031, 37032]]
['2', [37080, 37081]]
['2', [37089, 37090]]
['2', [37178, 37179]]
['2', [37345, 37346]]
['2', [37379, 37380]]
['2', [37383, 37384]]
['2', [37388, 37389]]
['2', [37413, 37414]]
['2', [37420, 37421]]
['2', [37445, 37446]]
['2', [37453, 37454]]
['2', [37455, 37456]]
['2', [37461, 37462]]
['2', [37463, 37464]]
['2', [37496, 37497]]
['2', [37505, 37506]]
['2', [37535, 37536]]
['2', [37543, 37544]]
['2', [37549, 37550]]
['2', [37557, 37558]]
['2', [37575, 37576]]
['2', [37584, 37585]]
['2', [37585, 37586]]
['2', [37593, 37594]]
['2', [38064, 38065]]
['2', [38084, 38085]]
['2', [38173, 38174]]
['2', [38177, 38178]]
['2', [38213, 38214]]
['2', [38261, 38262]]
['2', [38391, 38392]]
['2', [38395, 38396]]
['2', [38436, 38437]]
['2', [38469, 38470]]
['2', [38612, 38613]]
['2', [38662, 38663]]
['2', [38679, 38680]]
['2', [38707, 38708]]
['2', [38720, 38721]]
['2', [38721, 38722]]
['2', [38756, 38757]]
['2', [38764, 38765]]
['2', [38775, 38776]]
['2', [38824, 38825]]
['2', [38833, 38834]]
['2', [38922, 38923]]
['2', [39089, 39090]]
['2', [39123, 39124]]
['2', [39127, 39128]]
['2', [39132, 39133]]
['2', [39157, 39158]]
['2', [39164, 39165]]
['2', [39189, 39190]]
['2', [39197, 39198]]
['2', [39199, 39200]]
['2', [39205, 39206]]
['2', [39207, 39208]]
['2', [39240, 39241]]
['2', [39249, 39250]]
['2', [39279, 39280]]
['2', [39287, 39288]]
['2', [39293, 39294]]
['2', [39301, 39302]]
['2', [39319, 39320]]
['2', [39328, 39329]]
['2', [39329, 39330]]
['2', [39337, 39338]]
['waso', [14674, 14678]]
['waso', [17083, 17087]]
['waso', [19724, 19728]]
['waso', [20331, 20335]]
['waso', [37362, 37366]]
['waso', [37595, 37599]]
['waso', [39106, 39110]]
['waso', [39339, 39343]]
['stages', [14912, 14918]]
['stages', [16180, 16186]]
['stages', [17321, 17327]]
['stages', [18589, 18595]]
['stages', [19962, 19968]]
['stages', [20569, 20575]]
['stages', [22838, 22844]]
['stages', [23391, 23397]]
['1', [421, 422]]
['1', [743, 744]]
['1', [870, 871]]
['1', [1252, 1253]]
['1', [1779, 1780]]
['1', [1867, 1868]]
['1', [2497, 2498]]
['1', [3795, 3796]]
['1', [3911, 3912]]
['1', [5490, 5491]]
['1', [6362, 6363]]
['1', [7044, 7045]]
['1', [7348, 7349]]
['1', [7360, 7361]]
['1', [7999, 8000]]
['1', [8533, 8534]]
['1', [8534, 8535]]
['1', [8935, 8936]]
['1', [9051, 9052]]
['1', [10630, 10631]]
['1', [11502, 11503]]
['1', [12185, 12186]]
['1', [12489, 12490]]
['1', [12501, 12502]]
['1', [13141, 13142]]
['1', [13675, 13676]]
['1', [13676, 13677]]
['1', [14089, 14090]]
['1', [14153, 14154]]
['1', [14542, 14543]]
['1', [14830, 14831]]
['1', [14988, 14989]]
['1', [15076, 15077]]
['1', [15085, 15086]]
['1', [15087, 15088]]
['1', [15098, 15099]]
['1', [15278, 15279]]
['1', [15320, 15321]]
['1', [15410, 15411]]
['1', [15502, 15503]]
['1', [15654, 15655]]
['1', [15753, 15754]]
['1', [15761, 15762]]
['1', [15915, 15916]]
['1', [16187, 16188]]
['1', [16264, 16265]]
['1', [16394, 16395]]
['1', [16498, 16499]]
['1', [16562, 16563]]
['1', [16951, 16952]]
['1', [17239, 17240]]
['1', [17397, 17398]]
['1', [17485, 17486]]
['1', [17494, 17495]]
['1', [17496, 17497]]
['1', [17507, 17508]]
['1', [17687, 17688]]
['1', [17729, 17730]]
['1', [17819, 17820]]
['1', [17911, 17912]]
['1', [18063, 18064]]
['1', [18162, 18163]]
['1', [18170, 18171]]
['1', [18324, 18325]]
['1', [18596, 18597]]
['1', [18673, 18674]]
['1', [18803, 18804]]
['1', [18896, 18897]]
['1', [18960, 18961]]
['1', [19138, 19139]]
['1', [19202, 19203]]
['1', [19592, 19593]]
['1', [19880, 19881]]
['1', [20199, 20200]]
['1', [20487, 20488]]
['1', [20646, 20647]]
['1', [20734, 20735]]
['1', [20743, 20744]]
['1', [20745, 20746]]
['1', [20756, 20757]]
['1', [20936, 20937]]
['1', [20978, 20979]]
['1', [21068, 21069]]
['1', [21160, 21161]]
['1', [21312, 21313]]
['1', [21411, 21412]]
['1', [21419, 21420]]
['1', [21573, 21574]]
['1', [21645, 21646]]
['1', [21733, 21734]]
['1', [21742, 21743]]
['1', [21744, 21745]]
['1', [21755, 21756]]
['1', [21935, 21936]]
['1', [21977, 21978]]
['1', [22067, 22068]]
['1', [22159, 22160]]
['1', [22311, 22312]]
['1', [22410, 22411]]
['1', [22418, 22419]]
['1', [22572, 22573]]
['1', [22845, 22846]]
['1', [22922, 22923]]
['1', [23052, 23053]]
['1', [23398, 23399]]
['1', [23475, 23476]]
['1', [23605, 23606]]
['1', [24196, 24197]]
['1', [24387, 24388]]
['1', [24777, 24778]]
['1', [26058, 26059]]
['1', [26996, 26997]]
['1', [27918, 27919]]
['1', [28009, 28010]]
['1', [30336, 30337]]
['1', [30527, 30528]]
['1', [30917, 30918]]
['1', [32198, 32199]]
['1', [33136, 33137]]
['1', [34058, 34059]]
['1', [34149, 34150]]
['1', [36000, 36001]]
['1', [36200, 36201]]
['1', [36209, 36210]]
['1', [36211, 36212]]
['1', [36222, 36223]]
['1', [36335, 36336]]
['1', [36377, 36378]]
['1', [36450, 36451]]
['1', [36557, 36558]]
['1', [36668, 36669]]
['1', [36756, 36757]]
['1', [36794, 36795]]
['1', [36893, 36894]]
['1', [36917, 36918]]
['1', [36926, 36927]]
['1', [36929, 36930]]
['1', [36965, 36966]]
['1', [36970, 36971]]
['1', [37006, 37007]]
['1', [37014, 37015]]
['1', [37024, 37025]]
['1', [37072, 37073]]
['1', [37206, 37207]]
['1', [37245, 37246]]
['1', [37302, 37303]]
['1', [37307, 37308]]
['1', [37337, 37338]]
['1', [37354, 37355]]
['1', [37359, 37360]]
['1', [37380, 37381]]
['1', [37405, 37406]]
['1', [37419, 37420]]
['1', [37428, 37429]]
['1', [37471, 37472]]
['1', [37502, 37503]]
['1', [37511, 37512]]
['1', [37534, 37535]]
['1', [37540, 37541]]
['1', [37544, 37545]]
['1', [37552, 37553]]
['1', [37744, 37745]]
['1', [37944, 37945]]
['1', [37953, 37954]]
['1', [37955, 37956]]
['1', [37966, 37967]]
['1', [38079, 38080]]
['1', [38121, 38122]]
['1', [38194, 38195]]
['1', [38301, 38302]]
['1', [38412, 38413]]
['1', [38500, 38501]]
['1', [38538, 38539]]
['1', [38637, 38638]]
['1', [38661, 38662]]
['1', [38670, 38671]]
['1', [38673, 38674]]
['1', [38709, 38710]]
['1', [38714, 38715]]
['1', [38750, 38751]]
['1', [38758, 38759]]
['1', [38768, 38769]]
['1', [38816, 38817]]
['1', [38950, 38951]]
['1', [38989, 38990]]
['1', [39046, 39047]]
['1', [39051, 39052]]
['1', [39081, 39082]]
['1', [39098, 39099]]
['1', [39103, 39104]]
['1', [39124, 39125]]
['1', [39149, 39150]]
['1', [39163, 39164]]
['1', [39172, 39173]]
['1', [39215, 39216]]
['1', [39246, 39247]]
['1', [39255, 39256]]
['1', [39278, 39279]]
['1', [39284, 39285]]
['1', [39288, 39289]]
['1', [39296, 39297]]
['and', [28, 31]]
['and', [39, 42]]
['and', [152, 155]]
['and', [235, 238]]
['and', [425, 428]]
['and', [433, 436]]
['and', [547, 550]]
['and', [590, 593]]
['and', [683, 686]]
['and', [697, 700]]
['and', [728, 731]]
['and', [1351, 1354]]
['and', [1395, 1398]]
['and', [1497, 1500]]
['and', [1808, 1811]]
['and', [1953, 1956]]
['and', [2002, 2005]]
['and', [2197, 2200]]
['and', [2216, 2219]]
['and', [2262, 2265]]
['and', [2933, 2936]]
['and', [3187, 3190]]
['and', [3338, 3341]]
['and', [3370, 3373]]
['and', [3649, 3652]]
['and', [3747, 3750]]
['and', [3915, 3918]]
['and', [4170, 4173]]
['and', [4265, 4268]]
['and', [4483, 4486]]
['and', [4640, 4643]]
['and', [4682, 4685]]
['and', [4803, 4806]]
['and', [4902, 4905]]
['and', [4963, 4966]]
['and', [5068, 5071]]
['and', [5086, 5089]]
['and', [5203, 5206]]
['and', [5539, 5542]]
['and', [6358, 6361]]
['and', [6447, 6450]]
['and', [6496, 6499]]
['and', [6805, 6808]]
['and', [6905, 6908]]
['and', [7212, 7215]]
['and', [7337, 7340]]
['and', [7738, 7741]]
['and', [7812, 7815]]
['and', [7859, 7862]]
['and', [7892, 7895]]
['and', [8002, 8005]]
['and', [8225, 8228]]
['and', [8388, 8391]]
['and', [8421, 8424]]
['and', [8476, 8479]]
['and', [8491, 8494]]
['and', [8523, 8526]]
['and', [8612, 8615]]
['and', [8700, 8703]]
['and', [8832, 8835]]
['and', [8881, 8884]]
['and', [8892, 8895]]
['and', [9055, 9058]]
['and', [9310, 9313]]
['and', [9405, 9408]]
['and', [9623, 9626]]
['and', [9780, 9783]]
['and', [9822, 9825]]
['and', [9943, 9946]]
['and', [10042, 10045]]
['and', [10103, 10106]]
['and', [10208, 10211]]
['and', [10226, 10229]]
['and', [10343, 10346]]
['and', [10679, 10682]]
['and', [11498, 11501]]
['and', [11587, 11590]]
['and', [11636, 11639]]
['and', [11946, 11949]]
['and', [12046, 12049]]
['and', [12353, 12356]]
['and', [12478, 12481]]
['and', [12879, 12882]]
['and', [12953, 12956]]
['and', [13001, 13004]]
['and', [13034, 13037]]
['and', [13144, 13147]]
['and', [13367, 13370]]
['and', [13530, 13533]]
['and', [13563, 13566]]
['and', [13618, 13621]]
['and', [13633, 13636]]
['and', [13665, 13668]]
['and', [13755, 13758]]
['and', [13843, 13846]]
['and', [13975, 13978]]
['and', [14024, 14027]]
['and', [14035, 14038]]
['and', [14193, 14196]]
['and', [14377, 14380]]
['and', [14479, 14482]]
['and', [14793, 14796]]
['and', [14807, 14810]]
['and', [14921, 14924]]
['and', [14946, 14949]]
['and', [15301, 15304]]
['and', [15480, 15483]]
['and', [15729, 15732]]
['and', [15802, 15805]]
['and', [15911, 15914]]
['and', [15974, 15977]]
['and', [16043, 16046]]
['and', [16075, 16078]]
['and', [16189, 16192]]
['and', [16245, 16248]]
['and', [16372, 16375]]
['and', [16602, 16605]]
['and', [16786, 16789]]
['and', [16888, 16891]]
['and', [17202, 17205]]
['and', [17216, 17219]]
['and', [17330, 17333]]
['and', [17355, 17358]]
['and', [17710, 17713]]
['and', [17889, 17892]]
['and', [18138, 18141]]
['and', [18211, 18214]]
['and', [18320, 18323]]
['and', [18383, 18386]]
['and', [18452, 18455]]
['and', [18484, 18487]]
['and', [18598, 18601]]
['and', [18654, 18657]]
['and', [18781, 18784]]
['and', [19000, 19003]]
['and', [19242, 19245]]
['and', [19427, 19430]]
['and', [19529, 19532]]
['and', [19843, 19846]]
['and', [19857, 19860]]
['and', [19971, 19974]]
['and', [20034, 20037]]
['and', [20136, 20139]]
['and', [20450, 20453]]
['and', [20464, 20467]]
['and', [20578, 20581]]
['and', [20604, 20607]]
['and', [20959, 20962]]
['and', [21138, 21141]]
['and', [21387, 21390]]
['and', [21460, 21463]]
['and', [21569, 21572]]
['and', [21603, 21606]]
['and', [21958, 21961]]
['and', [22137, 22140]]
['and', [22386, 22389]]
['and', [22459, 22462]]
['and', [22568, 22571]]
['and', [22632, 22635]]
['and', [22701, 22704]]
['and', [22733, 22736]]
['and', [22847, 22850]]
['and', [22903, 22906]]
['and', [23030, 23033]]
['and', [23185, 23188]]
['and', [23254, 23257]]
['and', [23286, 23289]]
['and', [23400, 23403]]
['and', [23456, 23459]]
['and', [23583, 23586]]
['and', [23817, 23820]]
['and', [23839, 23842]]
['and', [24162, 24165]]
['and', [24204, 24207]]
['and', [24502, 24505]]
['and', [24592, 24595]]
['and', [24637, 24640]]
['and', [24664, 24667]]
['and', [24783, 24786]]
['and', [24807, 24810]]
['and', [25005, 25008]]
['and', [25447, 25450]]
['and', [25536, 25539]]
