['ppt-cfs', [19626, 19633]]
['ppt-cfs', [21933, 21940]]
['ppt-cfs', [22078, 22085]]
['ppt-cfs', [22172, 22179]]
['ppt-cfs', [22500, 22507]]
['ppt-cfs', [23374, 23381]]
['ppt-cfs', [23670, 23677]]
['ppt-cfs', [23737, 23744]]
['ppt-cfs', [24056, 24063]]
['ppt-cfs', [24164, 24171]]
['ppt-cfs', [24187, 24194]]
['ppt-cfs', [26494, 26501]]
['ppt-cfs', [26639, 26646]]
['ppt-cfs', [26733, 26740]]
['ppt-cfs', [27061, 27068]]
['ppt-cfs', [27935, 27942]]
['ppt-cfs', [28172, 28179]]
['ppt-cfs', [30479, 30486]]
['ppt-cfs', [30625, 30632]]
['ppt-cfs', [32932, 32939]]
['ppt-cfs', [33078, 33085]]
['ppt-cfs', [33172, 33179]]
['ppt-cfs', [33500, 33507]]
['ppt-cfs', [34374, 34381]]
['ppt-cfs', [34611, 34618]]
['ppt-cfs', [34705, 34712]]
['ppt-cfs', [35033, 35040]]
['ppt-cfs', [35907, 35914]]
['ppt-cfs', [37103, 37110]]
['ppt-cfs', [37872, 37879]]
['ppt-cfs', [38132, 38139]]
['ppt-cfs', [38821, 38828]]
['ppt-cfs', [40115, 40122]]
['ppt-cfs', [40690, 40697]]
['ppt-cfs', [41500, 41507]]
['ppt-cfs', [41634, 41641]]
['ppt-cfs', [44447, 44454]]
['ppt-cfs', [45216, 45223]]
['ppt-cfs', [45476, 45483]]
['ppt-cfs', [46165, 46172]]
['ppt-cfs', [47459, 47466]]
['ppt-cfs', [48034, 48041]]
['ppt-cfs', [48844, 48851]]
['ppt-cfs', [48978, 48985]]
['ppt-cfs', [50948, 50955]]
['ppt-cfs', [51432, 51439]]
['ppt-cfs', [52230, 52237]]
['ppt-cfs', [52369, 52376]]
['ppt-cfs', [54443, 54450]]
['ppt-cfs', [54469, 54476]]
['ppt-cfs', [54493, 54500]]
['ppt-cfs', [55860, 55867]]
['ppt-cfs', [56853, 56860]]
['ppt-cfs', [57337, 57344]]
['ppt-cfs', [58135, 58142]]
['ppt-cfs', [58274, 58281]]
['ppt-cfs', [60348, 60355]]
['ppt-cfs', [60374, 60381]]
['ppt-cfs', [60398, 60405]]
['ppt-cfs', [61765, 61772]]
['dc', [7536, 7538]]
['dc', [13993, 13995]]
['cfs', [3677, 3680]]
['cfs', [3974, 3977]]
['cfs', [4661, 4664]]
['cfs', [7991, 7994]]
['cfs', [8361, 8364]]
['cfs', [8634, 8637]]
['cfs', [8647, 8650]]
['cfs', [9345, 9348]]
['cfs', [10255, 10258]]
['cfs', [12333, 12336]]
['cfs', [14448, 14451]]
['cfs', [14818, 14821]]
['cfs', [15091, 15094]]
['cfs', [15104, 15107]]
['cfs', [15803, 15806]]
['cfs', [16714, 16717]]
['cfs', [18792, 18795]]
['cfs', [19113, 19116]]
['cfs', [19180, 19183]]
['cfs', [19499, 19502]]
['cfs', [19607, 19610]]
['cfs', [19630, 19633]]
['cfs', [21937, 21940]]
['cfs', [22082, 22085]]
['cfs', [22176, 22179]]
['cfs', [22504, 22507]]
['cfs', [23378, 23381]]
['cfs', [23674, 23677]]
['cfs', [23741, 23744]]
['cfs', [24060, 24063]]
['cfs', [24168, 24171]]
['cfs', [24191, 24194]]
['cfs', [26498, 26501]]
['cfs', [26643, 26646]]
['cfs', [26737, 26740]]
['cfs', [27065, 27068]]
['cfs', [27939, 27942]]
['cfs', [28176, 28179]]
['cfs', [30483, 30486]]
['cfs', [30629, 30632]]
['cfs', [32936, 32939]]
['cfs', [33082, 33085]]
['cfs', [33176, 33179]]
['cfs', [33504, 33507]]
['cfs', [34378, 34381]]
['cfs', [34615, 34618]]
['cfs', [34709, 34712]]
['cfs', [35037, 35040]]
['cfs', [35911, 35914]]
['cfs', [37107, 37110]]
['cfs', [37876, 37879]]
['cfs', [38136, 38139]]
['cfs', [38825, 38828]]
['cfs', [40119, 40122]]
['cfs', [40694, 40697]]
['cfs', [41504, 41507]]
['cfs', [41638, 41641]]
['cfs', [44451, 44454]]
['cfs', [45220, 45223]]
['cfs', [45480, 45483]]
['cfs', [46169, 46172]]
