['er', [33652, 33654]]
['er', [33708, 33710]]
['er', [33859, 33861]]
['er', [34246, 34248]]
['er', [34293, 34295]]
['er', [34302, 34304]]
['er', [34488, 34490]]
['er', [34578, 34580]]
['er', [34745, 34747]]
['er', [34819, 34821]]
['er', [35088, 35090]]
['er', [35111, 35113]]
['er', [35225, 35227]]
['er', [35233, 35235]]
['er', [35246, 35248]]
['er', [35314, 35316]]
['er', [35480, 35482]]
['er', [35499, 35501]]
['er', [35506, 35508]]
['er', [35561, 35563]]
['er', [35666, 35668]]
['er', [35678, 35680]]
['er', [35702, 35704]]
['er', [35743, 35745]]
['er', [35749, 35751]]
['er', [35775, 35777]]
['er', [35958, 35960]]
['er', [36052, 36054]]
['er', [36148, 36150]]
['er', [36159, 36161]]
['er', [36256, 36258]]
['er', [36292, 36294]]
['er', [36449, 36451]]
['er', [36608, 36610]]
['er', [36707, 36709]]
['er', [36718, 36720]]
['er', [36820, 36822]]
['er', [36890, 36892]]
['er', [37428, 37430]]
['er', [37492, 37494]]
['er', [37685, 37687]]
['er', [37768, 37770]]
['er', [38183, 38185]]
['er', [38286, 38288]]
['er', [38546, 38548]]
['er', [38566, 38568]]
['er', [38623, 38625]]
['er', [38699, 38701]]
['er', [38861, 38863]]
['er', [38901, 38903]]
['er', [38963, 38965]]
['er', [39145, 39147]]
['er', [39161, 39163]]
['er', [39194, 39196]]
['er', [39554, 39556]]
['er', [39593, 39595]]
['er', [39776, 39778]]
['er', [39845, 39847]]
['er', [39911, 39913]]
['er', [39974, 39976]]
['er', [39981, 39983]]
['er', [40013, 40015]]
['er', [40168, 40170]]
['er', [40194, 40196]]
['er', [40266, 40268]]
['er', [40374, 40376]]
['er', [40394, 40396]]
['er', [40489, 40491]]
['er', [40548, 40550]]
['er', [40656, 40658]]
['er', [40723, 40725]]
['er', [40888, 40890]]
['er', [40899, 40901]]
['er', [41073, 41075]]
['er', [41142, 41144]]
['er', [41208, 41210]]
['er', [41271, 41273]]
['er', [41278, 41280]]
['er', [41310, 41312]]
['er', [41465, 41467]]
['er', [41491, 41493]]
['er', [41563, 41565]]
['er', [41671, 41673]]
['er', [41691, 41693]]
['er', [41786, 41788]]
['er', [41845, 41847]]
['er', [41953, 41955]]
['er', [42020, 42022]]
['er', [42185, 42187]]
['er', [42196, 42198]]
['er', [42302, 42304]]
['er', [42325, 42327]]
['er', [42483, 42485]]
['er', [42507, 42509]]
['er', [42606, 42608]]
['er', [42706, 42708]]
['er', [43054, 43056]]
['er', [43064, 43066]]
['er', [43081, 43083]]
['er', [43108, 43110]]
['er', [43243, 43245]]
['er', [43391, 43393]]
['er', [43476, 43478]]
['er', [43564, 43566]]
['er', [43675, 43677]]
['er', [43698, 43700]]
['er', [43856, 43858]]
['er', [43880, 43882]]
['er', [43979, 43981]]
['er', [44079, 44081]]
['er', [44427, 44429]]
