['factor', [45804, 45810]]
['factor', [50901, 50907]]
['factor', [56882, 56888]]
['factor', [57341, 57347]]
['factor', [59677, 59683]]
['factor', [59749, 59755]]
['factor', [61423, 61429]]
['factor', [72442, 72448]]
['factor', [90561, 90567]]
['table', [13520, 13525]]
['table', [13572, 13577]]
['table', [16011, 16016]]
['table', [17740, 17745]]
['table', [18218, 18223]]
['table', [21522, 21527]]
['table', [22058, 22063]]
['table', [22916, 22921]]
['table', [23115, 23120]]
['table', [23339, 23344]]
['table', [23617, 23622]]
['table', [23824, 23829]]
['table', [24080, 24085]]
['table', [24401, 24406]]
['table', [24640, 24645]]
['table', [24890, 24895]]
['table', [24938, 24943]]
['table', [25125, 25130]]
['table', [26135, 26140]]
['table', [29439, 29444]]
['table', [29975, 29980]]
['table', [30833, 30838]]
['table', [31032, 31037]]
['table', [31256, 31261]]
['table', [31534, 31539]]
['table', [31741, 31746]]
['table', [31997, 32002]]
['table', [32318, 32323]]
['table', [32557, 32562]]
['table', [32807, 32812]]
['table', [32855, 32860]]
['table', [33042, 33047]]
['table', [37744, 37749]]
['table', [53363, 53368]]
['table', [65241, 65246]]
['table', [66165, 66170]]
['table', [66472, 66477]]
['table', [67884, 67889]]
['table', [69121, 69126]]
['table', [73032, 73037]]
['table', [76689, 76694]]
['table', [79955, 79960]]
['table', [82883, 82888]]
['table', [83360, 83365]]
['table', [84284, 84289]]
['table', [84591, 84596]]
['table', [86003, 86008]]
['table', [87240, 87245]]
['table', [91151, 91156]]
['table', [94808, 94813]]
['table', [98074, 98079]]
['table', [101002, 101007]]
['1', [536, 537]]
['1', [2239, 2240]]
['1', [2701, 2702]]
['1', [2725, 2726]]
['1', [2874, 2875]]
['1', [3334, 3335]]
['1', [3969, 3970]]
['1', [4068, 4069]]
['1', [4083, 4084]]
['1', [4128, 4129]]
['1', [4300, 4301]]
['1', [4634, 4635]]
['1', [4654, 4655]]
['1', [4946, 4947]]
['1', [4978, 4979]]
['1', [5478, 5479]]
['1', [6847, 6848]]
['1', [6976, 6977]]
['1', [7250, 7251]]
['1', [7692, 7693]]
['1', [7908, 7909]]
['1', [9074, 9075]]
['1', [10375, 10376]]
['1', [10385, 10386]]
['1', [10597, 10598]]
['1', [10606, 10607]]
['1', [10699, 10700]]
['1', [11767, 11768]]
['1', [11816, 11817]]
['1', [11820, 11821]]
['1', [12622, 12623]]
['1', [12626, 12627]]
['1', [13373, 13374]]
['1', [13526, 13527]]
['1', [13581, 13582]]
['1', [13795, 13796]]
['1', [14313, 14314]]
['1', [14356, 14357]]
['1', [14429, 14430]]
['1', [14578, 14579]]
['1', [14668, 14669]]
['1', [14669, 14670]]
['1', [14671, 14672]]
['1', [14688, 14689]]
['1', [14689, 14690]]
['1', [14887, 14888]]
['1', [15354, 15355]]
['1', [15359, 15360]]
['1', [15608, 15609]]
['1', [16616, 16617]]
['1', [17083, 17084]]
['1', [17088, 17089]]
['1', [17337, 17338]]
['1', [18246, 18247]]
['1', [18261, 18262]]
['1', [18470, 18471]]
['1', [18579, 18580]]
['1', [18584, 18585]]
['1', [18889, 18890]]
['1', [18910, 18911]]
['1', [19051, 19052]]
['1', [19377, 19378]]
['1', [19506, 19507]]
['1', [19536, 19537]]
['1', [19925, 19926]]
['1', [20178, 20179]]
['1', [20374, 20375]]
['1', [20380, 20381]]
['1', [20398, 20399]]
['1', [20800, 20801]]
['1', [20846, 20847]]
['1', [20882, 20883]]
['1', [20920, 20921]]
['1', [20973, 20974]]
['1', [21373, 21374]]
['1', [21410, 21411]]
['1', [21460, 21461]]
['1', [21987, 21988]]
['1', [22022, 22023]]
['1', [22072, 22073]]
['1', [22108, 22109]]
['1', [22549, 22550]]
['1', [22567, 22568]]
['1', [23131, 23132]]
['1', [23175, 23176]]
['1', [23192, 23193]]
['1', [23444, 23445]]
['1', [23451, 23452]]
['1', [23452, 23453]]
['1', [25238, 25239]]
['1', [25239, 25240]]
['1', [25647, 25648]]
['1', [25696, 25697]]
['1', [25875, 25876]]
['1', [25949, 25950]]
['1', [26163, 26164]]
['1', [26178, 26179]]
['1', [26387, 26388]]
['1', [26496, 26497]]
['1', [26501, 26502]]
['1', [26806, 26807]]
['1', [26827, 26828]]
['1', [26968, 26969]]
['1', [27294, 27295]]
['1', [27423, 27424]]
['1', [27453, 27454]]
['1', [27842, 27843]]
['1', [28095, 28096]]
['1', [28291, 28292]]
['1', [28297, 28298]]
['1', [28315, 28316]]
['1', [28717, 28718]]
['1', [28763, 28764]]
['1', [28799, 28800]]
['1', [28837, 28838]]
['1', [28890, 28891]]
['1', [29290, 29291]]
