['ed', [11632, 11634]]
['ed', [11693, 11695]]
['ed', [11728, 11730]]
['ed', [11783, 11785]]
['ed', [11835, 11837]]
['ed', [11953, 11955]]
['ed', [12235, 12237]]
['ed', [12327, 12329]]
['ed', [12606, 12608]]
['ed', [12686, 12688]]
['ed', [12716, 12718]]
['ed', [12780, 12782]]
['ed', [12824, 12826]]
['ed', [12965, 12967]]
['ed', [13000, 13002]]
['ed', [13004, 13006]]
['ed', [13085, 13087]]
['ed', [13144, 13146]]
['ed', [13191, 13193]]
['ed', [13227, 13229]]
['ed', [13316, 13318]]
['ed', [13373, 13375]]
['ed', [13499, 13501]]
['ed', [13637, 13639]]
['ed', [13801, 13803]]
['ed', [13863, 13865]]
['ed', [13873, 13875]]
['ed', [13884, 13886]]
['ed', [14019, 14021]]
['ed', [14114, 14116]]
['ed', [14144, 14146]]
['ed', [14406, 14408]]
['ed', [14474, 14476]]
['ed', [14520, 14522]]
['ed', [14597, 14599]]
['ed', [14680, 14682]]
['ed', [14724, 14726]]
['ed', [14824, 14826]]
['ed', [14875, 14877]]
['ed', [14902, 14904]]
['ed', [14997, 14999]]
['ed', [15185, 15187]]
['ed', [15670, 15672]]
['ed', [15751, 15753]]
['ed', [15798, 15800]]
['ed', [15818, 15820]]
['ed', [15854, 15856]]
['ed', [15962, 15964]]
['ed', [16050, 16052]]
['ed', [16167, 16169]]
['ed', [16214, 16216]]
['ed', [16367, 16369]]
['ed', [16563, 16565]]
['ed', [16759, 16761]]
['ed', [16960, 16962]]
['ed', [17134, 17136]]
['ed', [17237, 17239]]
['ed', [17299, 17301]]
['ed', [17312, 17314]]
['ed', [17366, 17368]]
['ed', [17726, 17728]]
['ed', [18235, 18237]]
['ed', [18303, 18305]]
['ed', [18530, 18532]]
['ed', [18637, 18639]]
['ed', [18844, 18846]]
['ed', [18959, 18961]]
['ed', [19401, 19403]]
['ed', [19448, 19450]]
['ed', [19659, 19661]]
['ed', [19900, 19902]]
['ed', [19960, 19962]]
['ed', [20186, 20188]]
['ed', [20235, 20237]]
['ed', [20676, 20678]]
