genia tagger: 9797['type', [4, 8]]
['1', [59982, 59983]]
['1', [60101, 60102]]
['1', [60213, 60214]]
['1', [60359, 60360]]
['1', [60525, 60526]]
['1', [60663, 60664]]
['1', [60966, 60967]]
['1', [61091, 61092]]
['1', [61765, 61766]]
['1', [61793, 61794]]
['1', [61796, 61797]]
['1', [61835, 61836]]
['1', [61940, 61941]]
['1', [62035, 62036]]
['1', [62722, 62723]]
['1', [63654, 63655]]
['1', [63657, 63658]]
['1', [63696, 63697]]
['1', [64179, 64180]]
['1', [64621, 64622]]
['1', [64834, 64835]]
['1', [65443, 65444]]
['1', [65536, 65537]]
['1', [65563, 65564]]
['1', [65589, 65590]]
['1', [65596, 65597]]
['1', [65659, 65660]]
['1', [66048, 66049]]
['1', [66202, 66203]]
['1', [66335, 66336]]
['1', [66618, 66619]]
['1', [66631, 66632]]
['1', [66671, 66672]]
['1', [66808, 66809]]
['1', [66845, 66846]]
['1', [66885, 66886]]
['1', [66921, 66922]]
['1', [66937, 66938]]
['1', [67019, 67020]]
['1', [67029, 67030]]
['1', [67053, 67054]]
['1', [67055, 67056]]
['1', [67079, 67080]]
['1', [67081, 67082]]
['1', [67097, 67098]]
['1', [67114, 67115]]
['1', [67226, 67227]]
['1', [67236, 67237]]
['1', [67305, 67306]]
['1', [67312, 67313]]
['1', [67375, 67376]]
['1', [67764, 67765]]
['1', [67918, 67919]]
['1', [68051, 68052]]
['1', [68334, 68335]]
['1', [68347, 68348]]
['1', [68387, 68388]]
['1', [68524, 68525]]
['1', [68561, 68562]]
['1', [68601, 68602]]
['1', [68637, 68638]]
['1', [68653, 68654]]
['1', [68735, 68736]]
['1', [68745, 68746]]
['1', [68769, 68770]]
['1', [68771, 68772]]
['1', [68795, 68796]]
['1', [68797, 68798]]
['1', [68813, 68814]]
['1', [68830, 68831]]
['1', [68942, 68943]]
['1', [68952, 68953]]
['tnf', [11, 14]]
['tnf', [82, 85]]
['tnf', [218, 221]]
['tnf', [354, 357]]
['tnf', [378, 381]]
['tnf', [399, 402]]
['tnf', [419, 422]]
['tnf', [428, 431]]
['tnf', [480, 483]]
['tnf', [668, 671]]
['tnf', [708, 711]]
['tnf', [812, 815]]
['tnf', [878, 881]]
['tnf', [950, 953]]
['tnf', [959, 962]]
['tnf', [1122, 1125]]
['tnf', [1205, 1208]]
['tnf', [1223, 1226]]
['tnf', [1312, 1315]]
['tnf', [1410, 1413]]
['tnf', [1466, 1469]]
['tnf', [1529, 1532]]
['tnf', [1581, 1584]]
['tnf', [2498, 2501]]
['tnf', [2692, 2695]]
['tnf', [2706, 2709]]
['tnf', [2726, 2729]]
['tnf', [2737, 2740]]
['tnf', [2802, 2805]]
['tnf', [3164, 3167]]
['tnf', [3241, 3244]]
['tnf', [3456, 3459]]
['tnf', [3510, 3513]]
['tnf', [3635, 3638]]
['tnf', [3804, 3807]]
['tnf', [3945, 3948]]
['tnf', [4037, 4040]]
['tnf', [4166, 4169]]
['tnf', [4192, 4195]]
['tnf', [4255, 4258]]
['tnf', [4434, 4437]]
['tnf', [4567, 4570]]
['tnf', [4714, 4717]]
['tnf', [4795, 4798]]
['tnf', [5014, 5017]]
['tnf', [5360, 5363]]
['tnf', [5542, 5545]]
['tnf', [5552, 5555]]
['tnf', [5587, 5590]]
['tnf', [5649, 5652]]
['tnf', [5730, 5733]]
['tnf', [5906, 5909]]
['tnf', [5922, 5925]]
['tnf', [5975, 5978]]
['tnf', [6089, 6092]]
['tnf', [6155, 6158]]
['tnf', [6227, 6230]]
['tnf', [6236, 6239]]
['tnf', [6400, 6403]]
['tnf', [6483, 6486]]
['tnf', [6501, 6504]]
['tnf', [6590, 6593]]
['tnf', [6688, 6691]]
['tnf', [6744, 6747]]
['tnf', [6808, 6811]]
['tnf', [6860, 6863]]
['tnf', [7029, 7032]]
['tnf', [7045, 7048]]
['tnf', [7084, 7087]]
['tnf', [7100, 7103]]
['tnf', [7484, 7487]]
['tnf', [7497, 7500]]
['tnf', [9799, 9802]]
['tnf', [10073, 10076]]
['tnf', [10167, 10170]]
['tnf', [12488, 12491]]
['tnf', [12502, 12505]]
['tnf', [12558, 12561]]
['tnf', [12580, 12583]]
['tnf', [12741, 12744]]
['tnf', [12754, 12757]]
['tnf', [12810, 12813]]
['tnf', [12832, 12835]]
['tnf', [13091, 13094]]
['tnf', [13107, 13110]]
['tnf', [13146, 13149]]
['tnf', [13162, 13165]]
['tnf', [13546, 13549]]
['tnf', [13559, 13562]]
['tnf', [15864, 15867]]
['tnf', [16138, 16141]]
['tnf', [16232, 16235]]
['tnf', [18555, 18558]]
['tnf', [18569, 18572]]
['tnf', [18625, 18628]]
['tnf', [18647, 18650]]
['tnf', [18808, 18811]]
['tnf', [18821, 18824]]
['tnf', [18877, 18880]]
['tnf', [18899, 18902]]
['tnf', [19124, 19127]]
['tnf', [19177, 19180]]
['tnf', [19232, 19235]]
['tnf', [19298, 19301]]
['tnf', [19312, 19315]]
['tnf', [19442, 19445]]
['tnf', [19589, 19592]]
['tnf', [20071, 20074]]
['tnf', [20141, 20144]]
['tnf', [20215, 20218]]
['tnf', [20423, 20426]]
['tnf', [20532, 20535]]
['tnf', [20545, 20548]]
['tnf', [20788, 20791]]
['tnf', [20836, 20839]]
['tnf', [20848, 20851]]
['tnf', [21135, 21138]]
['tnf', [21149, 21152]]
['tnf', [21185, 21188]]
['tnf', [21426, 21429]]
['tnf', [21508, 21511]]
['tnf', [21563, 21566]]
['tnf', [21597, 21600]]
['tnf', [21673, 21676]]
['tnf', [21687, 21690]]
['tnf', [21775, 21778]]
['tnf', [22007, 22010]]
['tnf', [22087, 22090]]
['tnf', [22120, 22123]]
['tnf', [22201, 22204]]
['tnf', [22244, 22247]]
['tnf', [22260, 22263]]
['tnf', [22300, 22303]]
['tnf', [22363, 22366]]
['tnf', [22379, 22382]]
['tnf', [22592, 22595]]
['tnf', [22600, 22603]]
['tnf', [22730, 22733]]
['tnf', [22791, 22794]]
['tnf', [23111, 23114]]
['tnf', [23413, 23416]]
['tnf', [24143, 24146]]
['tnf', [24359, 24362]]
['tnf', [25002, 25005]]
['tnf', [25431, 25434]]
['tnf', [25588, 25591]]
['tnf', [25644, 25647]]
['tnf', [25697, 25700]]
['tnf', [25752, 25755]]
['tnf', [25818, 25821]]
['tnf', [25832, 25835]]
['tnf', [25962, 25965]]
['tnf', [26109, 26112]]
['tnf', [26591, 26594]]
['tnf', [26661, 26664]]
['tnf', [26735, 26738]]
['tnf', [26943, 26946]]
['tnf', [27052, 27055]]
['tnf', [27065, 27068]]
['tnf', [27308, 27311]]
['tnf', [27356, 27359]]
['tnf', [27368, 27371]]
['tnf', [27655, 27658]]
['tnf', [27669, 27672]]
['tnf', [27705, 27708]]
['tnf', [27946, 27949]]
['tnf', [28028, 28031]]
['tnf', [28083, 28086]]
['tnf', [28117, 28120]]
['tnf', [28193, 28196]]
['tnf', [28207, 28210]]
['tnf', [28295, 28298]]
['tnf', [28527, 28530]]
['tnf', [28607, 28610]]
['tnf', [28640, 28643]]
['tnf', [28721, 28724]]
['tnf', [28764, 28767]]
['tnf', [28780, 28783]]
['tnf', [28820, 28823]]
['tnf', [28883, 28886]]
['tnf', [28899, 28902]]
['tnf', [29112, 29115]]
['tnf', [29120, 29123]]
['tnf', [29250, 29253]]
['tnf', [29311, 29314]]
['tnf', [29631, 29634]]
['tnf', [29933, 29936]]
['tnf', [30663, 30666]]
['tnf', [30879, 30882]]
['tnf', [31522, 31525]]
['tnf', [31951, 31954]]
['tnf', [32108, 32111]]
['tnf', [32156, 32159]]
['tnf', [32209, 32212]]
['tnf', [32264, 32267]]
['tnf', [32330, 32333]]
['tnf', [32344, 32347]]
['tnf', [32474, 32477]]
['tnf', [32621, 32624]]
['tnf', [33103, 33106]]
['tnf', [33173, 33176]]
['tnf', [33247, 33250]]
['tnf', [33455, 33458]]
['tnf', [33564, 33567]]
['tnf', [33577, 33580]]
['tnf', [33820, 33823]]
['tnf', [33868, 33871]]
['tnf', [33880, 33883]]
['tnf', [34167, 34170]]
['tnf', [34181, 34184]]
['tnf', [34217, 34220]]
['tnf', [34458, 34461]]
['tnf', [34540, 34543]]
['tnf', [34595, 34598]]
['tnf', [34629, 34632]]
['tnf', [34705, 34708]]
['tnf', [34719, 34722]]
['tnf', [34807, 34810]]
['tnf', [35039, 35042]]
['tnf', [35119, 35122]]
['tnf', [35152, 35155]]
['tnf', [35233, 35236]]
['tnf', [35276, 35279]]
['tnf', [35292, 35295]]
['tnf', [35332, 35335]]
['tnf', [35367, 35370]]
['tnf', [35420, 35423]]
['tnf', [35475, 35478]]
['tnf', [35541, 35544]]
['tnf', [35555, 35558]]
['tnf', [35685, 35688]]
['tnf', [35832, 35835]]
['tnf', [36314, 36317]]
['tnf', [36384, 36387]]
['tnf', [36458, 36461]]
['tnf', [36666, 36669]]
['tnf', [36775, 36778]]
['tnf', [36788, 36791]]
['tnf', [37031, 37034]]
['tnf', [37079, 37082]]
['tnf', [37091, 37094]]
['tnf', [37378, 37381]]
['tnf', [37392, 37395]]
['tnf', [37428, 37431]]
['tnf', [37669, 37672]]
['tnf', [37751, 37754]]
['tnf', [37806, 37809]]
['tnf', [37840, 37843]]
['tnf', [37916, 37919]]
['tnf', [37930, 37933]]
['tnf', [38018, 38021]]
['tnf', [38250, 38253]]
['tnf', [38330, 38333]]
['tnf', [38363, 38366]]
['tnf', [38444, 38447]]
['tnf', [38487, 38490]]
['tnf', [38503, 38506]]
['tnf', [38543, 38546]]
['tnf', [38607, 38610]]
['tnf', [38623, 38626]]
['tnf', [38836, 38839]]
['tnf', [38844, 38847]]
['tnf', [38974, 38977]]
['tnf', [39035, 39038]]
['tnf', [39355, 39358]]
['tnf', [39657, 39660]]
['tnf', [40387, 40390]]
['tnf', [40603, 40606]]
['tnf', [41246, 41249]]
['tnf', [41675, 41678]]
['tnf', [41832, 41835]]
['tnf', [41909, 41912]]
['tnf', [41925, 41928]]
['tnf', [42138, 42141]]
['tnf', [42146, 42149]]
['tnf', [42276, 42279]]
['tnf', [42337, 42340]]
['tnf', [42657, 42660]]
['tnf', [42959, 42962]]
['tnf', [43689, 43692]]
['tnf', [43905, 43908]]
['tnf', [44548, 44551]]
['tnf', [44977, 44980]]
['tnf', [45134, 45137]]
['tnf', [45269, 45272]]
['tnf', [45370, 45373]]
['tnf', [45472, 45475]]
['tnf', [45488, 45491]]
['tnf', [45522, 45525]]
['tnf', [45647, 45650]]
['tnf', [45697, 45700]]
['tnf', [45867, 45870]]
['tnf', [45919, 45922]]
['tnf', [46016, 46019]]
['tnf', [46051, 46054]]
['tnf', [46102, 46105]]
['tnf', [46167, 46170]]
['tnf', [46246, 46249]]
['tnf', [46254, 46257]]
['tnf', [46370, 46373]]
['tnf', [46474, 46477]]
['tnf', [46577, 46580]]
['tnf', [46623, 46626]]
['tnf', [46881, 46884]]
['tnf', [46962, 46965]]
['tnf', [46978, 46981]]
['tnf', [47037, 47040]]
['tnf', [47170, 47173]]
['tnf', [47207, 47210]]
['tnf', [47324, 47327]]
['tnf', [47442, 47445]]
['tnf', [47580, 47583]]
['tnf', [47648, 47651]]
['tnf', [47820, 47823]]
['tnf', [48036, 48039]]
['tnf', [48148, 48151]]
['tnf', [48199, 48202]]
['tnf', [48316, 48319]]
['tnf', [48394, 48397]]
['tnf', [48549, 48552]]
['tnf', [48605, 48608]]
['tnf', [48638, 48641]]
['tnf', [48722, 48725]]
['tnf', [48760, 48763]]
['tnf', [48820, 48823]]
['tnf', [48830, 48833]]
['tnf', [48901, 48904]]
['tnf', [49008, 49011]]
['tnf', [49149, 49152]]
['tnf', [49186, 49189]]
['tnf', [49344, 49347]]
['tnf', [49464, 49467]]
['tnf', [49531, 49534]]
['tnf', [49630, 49633]]
['tnf', [49719, 49722]]
['tnf', [49812, 49815]]
['tnf', [49840, 49843]]
['tnf', [49926, 49929]]
['tnf', [49931, 49934]]
['tnf', [50043, 50046]]
['tnf', [50146, 50149]]
['tnf', [50368, 50371]]
['tnf', [50565, 50568]]
['tnf', [50663, 50666]]
['tnf', [50796, 50799]]
['tnf', [50840, 50843]]
['tnf', [50957, 50960]]
['tnf', [51152, 51155]]
['tnf', [51376, 51379]]
['tnf', [51607, 51610]]
['tnf', [52198, 52201]]
['tnf', [52336, 52339]]
['tnf', [52414, 52417]]
['tnf', [52552, 52555]]
['tnf', [52677, 52680]]
['tnf', [53372, 53375]]
['tnf', [53956, 53959]]
['tnf', [54009, 54012]]
['tnf', [54463, 54466]]
['tnf', [55040, 55043]]
['tnf', [55252, 55255]]
['tnf', [55273, 55276]]
['tnf', [55434, 55437]]
['tnf', [55535, 55538]]
['tnf', [55637, 55640]]
['tnf', [55653, 55656]]
['tnf', [55687, 55690]]
['tnf', [55812, 55815]]
['tnf', [55862, 55865]]
['tnf', [56032, 56035]]
['tnf', [56084, 56087]]
['tnf', [56181, 56184]]
['tnf', [56216, 56219]]
['tnf', [56267, 56270]]
['tnf', [56332, 56335]]
['tnf', [56411, 56414]]
['tnf', [56419, 56422]]
['tnf', [56535, 56538]]
['tnf', [56639, 56642]]
['tnf', [56742, 56745]]
['tnf', [56788, 56791]]
['tnf', [57046, 57049]]
['tnf', [57127, 57130]]
['tnf', [57143, 57146]]
['tnf', [57202, 57205]]
['tnf', [57335, 57338]]
['tnf', [57372, 57375]]
['tnf', [57489, 57492]]
['tnf', [57607, 57610]]
['tnf', [57745, 57748]]
['tnf', [57813, 57816]]
['tnf', [57985, 57988]]
['tnf', [58201, 58204]]
['tnf', [58313, 58316]]
['tnf', [58364, 58367]]
['tnf', [58481, 58484]]
['tnf', [58559, 58562]]
['tnf', [58714, 58717]]
['tnf', [58770, 58773]]
['tnf', [58803, 58806]]
['tnf', [58887, 58890]]
['tnf', [58925, 58928]]
['tnf', [58985, 58988]]
['tnf', [58995, 58998]]
['tnf', [59066, 59069]]
['tnf', [59173, 59176]]
['tnf', [59314, 59317]]
['tnf', [59351, 59354]]
['tnf', [59509, 59512]]
['tnf', [59629, 59632]]
['tnf', [59696, 59699]]
['tnf', [59795, 59798]]
['tnf', [59884, 59887]]
['tnf', [59977, 59980]]
['tnf', [60005, 60008]]
['tnf', [60091, 60094]]
['tnf', [60096, 60099]]
['tnf', [60208, 60211]]
['tnf', [60311, 60314]]
['tnf', [60533, 60536]]
['tnf', [60730, 60733]]
['tnf', [60828, 60831]]
['tnf', [60961, 60964]]
['tnf', [61005, 61008]]
