['fragments', [30410, 30419]]
['fragments', [31058, 31067]]
['lung', [592, 596]]
['lung', [5160, 5164]]
['lung', [6404, 6408]]
['lung', [7038, 7042]]
['lung', [11039, 11043]]
['lung', [14342, 14346]]
['lung', [17850, 17854]]
['lung', [23696, 23700]]
['lung', [24330, 24334]]
['lung', [28332, 28336]]
['lung', [32069, 32073]]
['lung', [35374, 35378]]
['lung', [38884, 38888]]
['lung', [53240, 53244]]
['lung', [63572, 63576]]
['metastases', [2160, 2170]]
['metastases', [6118, 6128]]
['metastases', [6409, 6419]]
['metastases', [7043, 7053]]
['metastases', [11044, 11054]]
['metastases', [21594, 21604]]
['metastases', [23409, 23419]]
['metastases', [23701, 23711]]
['metastases', [24335, 24345]]
['metastases', [28337, 28347]]
['metastases', [32074, 32084]]
['metastases', [42632, 42642]]
['key', [7899, 7902]]
['key', [21539, 21542]]
['key', [25191, 25194]]
['key', [42577, 42580]]
['proteins', [7903, 7911]]
['proteins', [12393, 12401]]
['proteins', [13306, 13314]]
['proteins', [13764, 13772]]
['proteins', [21543, 21551]]
['proteins', [25195, 25203]]
['proteins', [33424, 33432]]
['proteins', [34337, 34345]]
['proteins', [34795, 34803]]
['proteins', [42581, 42589]]
['endogenous', [8275, 8285]]
['endogenous', [25568, 25578]]
['endogenous', [29302, 29312]]
['peroxidase', [8286, 8296]]
['peroxidase', [25579, 25589]]
['peroxidase', [29313, 29323]]
['rat', [1648, 1651]]
['rat', [1771, 1774]]
['rat', [2144, 2147]]
['rat', [2301, 2304]]
['rat', [2671, 2674]]
['rat', [3415, 3418]]
['rat', [3619, 3622]]
['rat', [4577, 4580]]
['rat', [5854, 5857]]
['rat', [6206, 6209]]
['rat', [6879, 6882]]
['rat', [8228, 8231]]
['rat', [8255, 8258]]
['rat', [8474, 8477]]
['rat', [8751, 8754]]
['rat', [8832, 8835]]
['rat', [8896, 8899]]
['rat', [10937, 10940]]
['rat', [11015, 11018]]
['rat', [12175, 12178]]
['rat', [13009, 13012]]
['rat', [13082, 13085]]
['rat', [13252, 13255]]
['rat', [13574, 13577]]
['rat', [13655, 13658]]
['rat', [13685, 13688]]
['rat', [13829, 13832]]
['rat', [13895, 13898]]
['rat', [15043, 15046]]
['rat', [15108, 15111]]
['rat', [15293, 15296]]
['rat', [15408, 15411]]
['rat', [15973, 15976]]
['rat', [17086, 17089]]
['rat', [17178, 17181]]
['rat', [17332, 17335]]
['rat', [17490, 17493]]
['rat', [17535, 17538]]
['rat', [18107, 18110]]
['rat', [18179, 18182]]
['rat', [18186, 18189]]
['rat', [18665, 18668]]
['rat', [18865, 18868]]
['rat', [19540, 19543]]
['rat', [21653, 21656]]
['rat', [21769, 21772]]
['rat', [22281, 22284]]
['rat', [22380, 22383]]
['rat', [23145, 23148]]
['rat', [23497, 23500]]
['rat', [24171, 24174]]
['rat', [25521, 25524]]
['rat', [25548, 25551]]
['rat', [25767, 25770]]
['rat', [26044, 26047]]
['rat', [26125, 26128]]
['rat', [26189, 26192]]
['rat', [28230, 28233]]
['rat', [28308, 28311]]
['rat', [29255, 29258]]
['rat', [29282, 29285]]
['rat', [29501, 29504]]
['rat', [29778, 29781]]
