['spss', [19858, 19862]]
['table', [11095, 11100]]
['table', [17693, 17698]]
['table', [20602, 20607]]
['table', [21494, 21499]]
['table', [22511, 22516]]
['table', [24462, 24467]]
['table', [26055, 26060]]
['table', [28758, 28763]]
['table', [29650, 29655]]
['table', [30667, 30672]]
['table', [32618, 32623]]
['table', [34211, 34216]]
['table', [36903, 36908]]
['table', [37795, 37800]]
['table', [38812, 38817]]
['table', [40317, 40322]]
['table', [41209, 41214]]
['table', [42226, 42231]]
['table', [44178, 44183]]
['table', [45771, 45776]]
['table', [48910, 48915]]
['table', [50503, 50508]]
['table', [53135, 53140]]
['table', [54698, 54703]]
['table', [56292, 56297]]
['table', [58955, 58960]]
['table', [80067, 80072]]
['table', [80074, 80079]]
['table', [81135, 81140]]
['table', [81936, 81941]]
['table', [82392, 82397]]
['table', [83191, 83196]]
['1', [852, 853]]
['1', [1697, 1698]]
['1', [1783, 1784]]
['1', [1896, 1897]]
['1', [2828, 2829]]
['1', [2835, 2836]]
['1', [3489, 3490]]
['1', [3612, 3613]]
['1', [3730, 3731]]
['1', [3732, 3733]]
['1', [4684, 4685]]
['1', [4689, 4690]]
['1', [5021, 5022]]
['1', [5023, 5024]]
['1', [5975, 5976]]
['1', [5980, 5981]]
['1', [6984, 6985]]
['1', [7219, 7220]]
['1', [8642, 8643]]
['1', [8904, 8905]]
['1', [8917, 8918]]
['1', [9095, 9096]]
['1', [9236, 9237]]
['1', [9436, 9437]]
['1', [9438, 9439]]
['1', [9604, 9605]]
['1', [9691, 9692]]
['1', [9769, 9770]]
['1', [10177, 10178]]
['1', [10227, 10228]]
['1', [11634, 11635]]
['1', [11941, 11942]]
['1', [11979, 11980]]
['1', [12253, 12254]]
['1', [12503, 12504]]
['1', [13147, 13148]]
['1', [13292, 13293]]
['1', [13814, 13815]]
['1', [15237, 15238]]
['1', [15499, 15500]]
['1', [15512, 15513]]
['1', [15691, 15692]]
['1', [15832, 15833]]
['1', [16032, 16033]]
['1', [16034, 16035]]
['1', [16201, 16202]]
['1', [16288, 16289]]
['1', [16366, 16367]]
['1', [16775, 16776]]
['1', [16825, 16826]]
['1', [18232, 18233]]
['1', [18539, 18540]]
['1', [18577, 18578]]
['1', [18851, 18852]]
['1', [19101, 19102]]
['1', [19745, 19746]]
['1', [19891, 19892]]
['1', [20424, 20425]]
['1', [20476, 20477]]
['1', [20478, 20479]]
['1', [20608, 20609]]
['1', [20747, 20748]]
['1', [20792, 20793]]
['1', [20795, 20796]]
['1', [21093, 21094]]
['1', [21421, 21422]]
['1', [22899, 22900]]
['1', [22944, 22945]]
['1', [23073, 23074]]
['1', [23322, 23323]]
['1', [23799, 23800]]
['1', [24346, 24347]]
['1', [24734, 24735]]
['1', [24994, 24995]]
['1', [25556, 25557]]
['1', [25565, 25566]]
['1', [25681, 25682]]
['1', [26795, 26796]]
['1', [26803, 26804]]
['1', [27696, 27697]]
['1', [28042, 28043]]
['1', [28053, 28054]]
['1', [28089, 28090]]
['1', [28580, 28581]]
['1', [28632, 28633]]
['1', [28634, 28635]]
['1', [28764, 28765]]
['1', [28903, 28904]]
['1', [28948, 28949]]
['1', [28951, 28952]]
['1', [29249, 29250]]
['1', [29577, 29578]]
['1', [31055, 31056]]
['1', [31100, 31101]]
['1', [31229, 31230]]
['1', [31478, 31479]]
['1', [31955, 31956]]
['1', [32502, 32503]]
['1', [32890, 32891]]
['1', [33150, 33151]]
['1', [33712, 33713]]
['1', [33721, 33722]]
['1', [33837, 33838]]
['1', [34951, 34952]]
['1', [34959, 34960]]
['1', [35852, 35853]]
['1', [36198, 36199]]
['1', [36209, 36210]]
['1', [36245, 36246]]
['1', [36725, 36726]]
['1', [36777, 36778]]
['1', [36779, 36780]]
['1', [36909, 36910]]
['1', [37048, 37049]]
['1', [37093, 37094]]
['1', [37096, 37097]]
['1', [37394, 37395]]
['1', [37722, 37723]]
['1', [39200, 39201]]
['1', [39245, 39246]]
['1', [39374, 39375]]
['1', [39623, 39624]]
['1', [40100, 40101]]
['1', [40139, 40140]]
['1', [40191, 40192]]
['1', [40193, 40194]]
['1', [40323, 40324]]
['1', [40462, 40463]]
['1', [40507, 40508]]
['1', [40510, 40511]]
['1', [40808, 40809]]
['1', [41136, 41137]]
['1', [42614, 42615]]
['1', [42659, 42660]]
['1', [42788, 42789]]
['1', [43037, 43038]]
['1', [43514, 43515]]
['1', [44062, 44063]]
['1', [44450, 44451]]
['1', [44710, 44711]]
['1', [45272, 45273]]
['1', [45281, 45282]]
['1', [45397, 45398]]
['1', [46511, 46512]]
['1', [46519, 46520]]
['1', [47412, 47413]]
['1', [47758, 47759]]
['1', [47769, 47770]]
['1', [47805, 47806]]
['1', [48794, 48795]]
['1', [49182, 49183]]
['1', [49442, 49443]]
['1', [50004, 50005]]
['1', [50013, 50014]]
['1', [50129, 50130]]
['1', [51243, 51244]]
['1', [51251, 51252]]
['1', [52144, 52145]]
['1', [52490, 52491]]
['1', [52501, 52502]]
['1', [52537, 52538]]
['1', [53019, 53020]]
['1', [53407, 53408]]
['1', [53667, 53668]]
['1', [54229, 54230]]
['1', [54238, 54239]]
['1', [54354, 54355]]
['1', [54582, 54583]]
['1', [54970, 54971]]
['1', [55230, 55231]]
['1', [55792, 55793]]
['1', [55801, 55802]]
['1', [55917, 55918]]
